brewery_id,brewer,,brewery_id,website
1037,"Radeberger Exportbierbrauerei",,1037,
1038,"Rahr & Sons Brewing Company",,1038,http://www.rahrbrewery.com/
1043,"RCH Brewery",,1043,
1044,"Real Ale Brewing Company",,1044,http://www.realalebrewing.com/
1045,ReaperAle,,1045,
1051,"Redhook Ale Brewery",,1051,http://www.redhook.com/
1052,"Remington Watson Smith Brewing",,1052,
1055,"Richbrau Brewing Company",,1055,http://www.richbrau.com/
1056,"Ridgeway Brewing",,1056,
1058,"River Horse Brewing Company",,1058,http://www.riverhorse.com
1061,"Rivertowne Pour House",,1061,http://www.myrivertowne.com/
1062,"Rock Art Brewery",,1062,http://www.rockartbrewery.com/
1064,"Rock Bottom Restaurant & Brewery - Denver",,1064,
1070,"Rockyard Brewing",,1070,
1072,"Rogue Ales",,1072,http://www.rogue.com
1075,"Roots Organic Brewing",,1075,
1081,"Roy Pitz Brewing Company",,1081,http://roypitz.com/
1084,"Rush River Brewing",,1084,
1086,"Russian River Brewing",,1086,http://www.russianriverbrewing.com/
1087,"S.A. Damm",,1087,http://www.estrelladamm.es/
1089,"Sabmiller India,",,1089,http://www.sabmiller.in/
1090,"Sacramento Brewing Company",,1090,http://sacbrew.blogspot.com/
1091,"Saint Arnold Brewing",,1091,http://www.saintarnold.com
1092,"Saint Louis Brewery / Schlafy Tap Room",,1092,http://www.schlafly.com/
1093,"Saint Somewhere Brewing Company",,1093,http://www.saintsomewherebrewing.com/
1094,"Saku lletehas",,1094,
1099,"Samuel Smith Old Brewery (Tadcaster)",,1099,
1100,"San Diego Brewing",,1100,
1103,"Sand Creek Brewing Company",,1103,http://www.sandcreekbrewing.com/
1108,"Santa Fe Brewing Company",,1108,http://www.santafebrewing.com/
1113,"Scharer's Little Brewery",,1113,
1115,"Schloss Eggenberg",,1115,
1116,Schlossbru,,1116,
1117,Sch̦fferhofer,,1117,http://www.schoefferhofer.de/
1120,"Schussenrieder Erlebnisbrauerei",,1120,
1122,"Scottish & Newcastle Breweries",,1122,
1124,"Scuttlebutt Brewing",,1124,
1125,"Sea Dog Brewing Company",,1125,http://www.seadogbrewing.com/
1126,"Seabright Brewery",,1126,
1127,"Second Street Brewery",,1127,http://www.secondstreetbrewery.com/
1129,"Sequoia Brewing Conoabt",,1129,http://www.sequoiabrewing.com/
1136,"Shipyard Brewing - Portland",,1136,http://www.shipyard.com/
1137,"Shmaltz Brewing Company",,1137,http://www.shmaltz.com/
1142,"Sierra Nevada Brewing Co.",,1142,http://www.sierranevada.com/
1148,"Six Rivers Brewery",,1148,http://www.sixriversbrewery.com/
1149,"Sixpoint Craft Ales",,1149,http://www.sixpointcraftales.com/
1150,"Ska Brewing Company",,1150,http://www.skabrewing.com/
1151,"Skagit River Brewing",,1151,
